name,description,status,sector,impactArea,budget,startDate,endDate,targetOutcomes
"Urban Green Infrastructure","Implement comprehensive green infrastructure across the city including parks, green roofs, and urban forests",in_progress,Environmental,Climate Resilience,2500000,2024-01-15,2026-12-31,"Improved air quality;Enhanced biodiversity;Reduced urban heat island effect"
"Smart City Digital Platform","Develop an integrated digital platform for city services and citizen engagement",not_started,Technology,Digital Transformation,1800000,2024-03-01,2025-08-31,"Improved service delivery;Enhanced citizen engagement;Data-driven decision making"
"Affordable Housing Initiative","Develop 500 affordable housing units across the city with integrated community services",in_progress,Housing,Social Equity,45000000,2023-09-01,2027-06-30,"Increased housing affordability;Reduced homelessness;Enhanced community cohesion"
"Renewable Energy Transition","Transition municipal buildings and facilities to 100% renewable energy sources",completed,Energy,Climate Action,8500000,2022-01-01,2023-12-31,"Reduced carbon emissions;Lower energy costs;Increased energy security"
"Public Transportation Enhancement","Expand and modernize public transportation network with electric buses and improved routes",on_hold,Transportation,Mobility,32000000,2024-02-01,2026-12-31,"Reduced traffic congestion;Improved air quality;Enhanced mobility access"
"Community Health Centers","Establish 3 new community health centers in underserved neighborhoods",not_started,Healthcare,Public Health,12000000,2024-06-01,2026-12-31,"Improved health outcomes;Increased access to care;Reduced health disparities"
"Digital Literacy Program","Provide digital skills training to 10,000 residents across all age groups",in_progress,Education,Digital Inclusion,800000,2024-01-01,2025-12-31,"Increased digital literacy;Improved employment prospects;Enhanced civic participation"
"Waste Management Innovation","Implement smart waste collection and recycling optimization system",not_started,Environmental,Waste Management,3500000,2024-09-01,2026-06-30,"Reduced waste to landfill;Increased recycling rates;Lower operational costs"
"Cultural District Development","Create a vibrant cultural district with performance spaces and artist studios",in_progress,Culture,Community Development,15000000,2023-12-01,2026-12-31,"Enhanced cultural vibrancy;Increased tourism;Support for local artists"
"Emergency Response Network","Establish comprehensive emergency response network with real-time monitoring",not_started,Public Safety,Emergency Management,22000000,2024-07-01,2027-06-30,"Improved emergency response;Enhanced public safety;Reduced response times"
